time,close,Volume Delta (Close)
2024-01-01,100.00,500
2024-01-02,101.50,600
2024-01-03,102.20,700
2024-01-04,103.80,800
2024-01-05,104.50,900
2024-01-06,105.30,1000
2024-01-07,106.80,1100
2024-01-08,107.90,1200
2024-01-09,108.50,1300
2024-01-10,109.40,1400
2024-01-11,110.90,1500
2024-01-12,111.70,1600
2024-01-13,112.80,1700
2024-01-14,113.50,1800
2024-01-15,114.30,1900
2024-01-16,115.80,2000
2024-01-17,116.70,2100
2024-01-18,117.90,2200
2024-01-19,118.60,2300
2024-01-20,119.40,2400
2024-01-21,120.90,2500
2024-01-22,121.70,2600
2024-01-23,122.80,2700
2024-01-24,123.50,2800
2024-01-25,124.30,2900
2024-01-26,125.80,3000
2024-01-27,126.70,3100
2024-01-28,127.90,3200
2024-01-29,128.60,3300
2024-01-30,129.40,3400
