time,close,Volume Delta (Close)
2024-01-01,100.00,1500
2024-01-02,98.50,1800
2024-01-03,97.20,2100
2024-01-04,96.80,1900
2024-01-05,95.50,2300
2024-01-06,94.30,2000
2024-01-07,93.80,2500
2024-01-08,92.90,2200
2024-01-09,91.50,2800
2024-01-10,90.80,2400
2024-01-11,89.90,3000
2024-01-12,88.70,2700
2024-01-13,87.80,3200
2024-01-14,86.50,2900
2024-01-15,85.90,3500
2024-01-16,84.80,3100
2024-01-17,83.70,3800
2024-01-18,82.60,3400
2024-01-19,81.50,4000
2024-01-20,80.40,3700
2024-01-21,79.80,4200
2024-01-22,78.90,3900
2024-01-23,77.60,4500
2024-01-24,76.80,4100
2024-01-25,75.90,4800
2024-01-26,74.70,4400
2024-01-27,73.80,5000
2024-01-28,72.90,4700
2024-01-29,71.60,5300
2024-01-30,70.80,4900
2024-01-31,69.90,5600
2024-02-01,68.70,5200
2024-02-02,67.80,5800
2024-02-03,66.90,5500
2024-02-04,65.60,6100
2024-02-05,64.80,5700
2024-02-06,63.90,6400
2024-02-07,62.70,6000
2024-02-08,61.80,6700
2024-02-09,60.90,6300
2024-02-10,59.60,7000
2024-02-11,58.80,6600
2024-02-12,57.90,7300
2024-02-13,56.70,6900
2024-02-14,55.80,7600
2024-02-15,54.90,7200
2024-02-16,53.60,7900
2024-02-17,52.80,7500
2024-02-18,51.90,8200
2024-02-19,50.70,7800
2024-02-20,49.80,8500
2024-02-21,48.90,8100
2024-02-22,47.60,8800
2024-02-23,46.80,8400
2024-02-24,45.90,9100
2024-02-25,44.70,8700
2024-02-26,43.80,9400
2024-02-27,42.90,9000
2024-02-28,41.60,9700
2024-02-29,40.80,9300
2024-03-01,39.90,10000
2024-03-02,38.70,9600
2024-03-03,37.80,10300
2024-03-04,36.90,9900
2024-03-05,35.60,10600
2024-03-06,34.80,10200
2024-03-07,33.90,10900
2024-03-08,32.70,10500
2024-03-09,31.80,11200
2024-03-10,30.90,10800
2024-03-11,29.60,11500
2024-03-12,28.80,11100
2024-03-13,27.90,11800
2024-03-14,26.70,11400
2024-03-15,25.80,12100
2024-03-16,24.90,11700
2024-03-17,23.60,12400
2024-03-18,22.80,12000
2024-03-19,21.90,12700
2024-03-20,20.70,12300
2024-03-21,19.80,13000
2024-03-22,18.90,12600
2024-03-23,17.60,13300
2024-03-24,16.80,12900
2024-03-25,15.90,13600
2024-03-26,14.70,13200
2024-03-27,13.80,13900
2024-03-28,12.90,13500
2024-03-29,11.60,14200
2024-03-30,10.80,13800
2024-03-31,9.90,14500
